2026-06-02 15:54:11.369 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 15 endpoints beneath base path '/actuator'
2026-06-02 15:54:11.641 [main] INFO  c.b.m.e.s.MybatisPlusApplicationContextAware - Register ApplicationContext instances org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@6256ac4f
2026-06-02 15:54:11.843 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Deferred [Mvc [pattern='/ws/**'], Ant [pattern='/ws/**']]. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2026-06-02 15:54:11.958 [main] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - Starting...
2026-06-02 15:54:11.958 [main] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - BrokerAvailabilityEvent[available=true, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@37e967df]]
2026-06-02 15:54:11.959 [main] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - Started.
2026-06-02 15:54:11.975 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2026-06-02 15:54:11.987 [main] INFO  c.s.q.QiSiSystemApplication - Started QiSiSystemApplication in 5.725 seconds (process running for 6.361)
2026-06-02 15:54:11.993 [main] INFO  c.s.q.c.startup.MinioStartupRunner - 开始健康检查
2026-06-02 15:54:12.164 [main] INFO  c.s.q.c.startup.MinioStartupRunner - Minio连接成功
2026-06-02 15:54:12.593 [main] INFO  c.s.q.c.startup.RedisStartupRunner - Redis数据库连接成功
2026-06-02 15:54:12.884 [RMI TCP Connection(4)-192.168.5.191] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-06-02 15:54:12.887 [RMI TCP Connection(4)-192.168.5.191] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2026-06-02 15:54:14.260 [clientOutboundChannel-4] INFO  c.s.q.m.w.s.i.WebSocketMessageServiceImpl - 已强制用户 2055949678117130242 下线，原因：您的账号已在另一台设备登录，您已被迫下线
2026-06-02 15:54:14.337 [clientOutboundChannel-8] INFO  c.s.q.m.w.s.i.WebSocketMessageServiceImpl - 已强制用户 2055949678117130242 下线，原因：您的账号已在另一台设备登录，您已被迫下线
2026-06-02 15:54:14.364 [clientOutboundChannel-13] INFO  c.s.q.m.w.s.i.WebSocketMessageServiceImpl - 已强制用户 2055949678117130242 下线，原因：您的账号已在另一台设备登录，您已被迫下线
2026-06-02 15:54:14.403 [clientOutboundChannel-19] INFO  c.s.q.m.w.s.i.WebSocketMessageServiceImpl - 已强制用户 2055949678117130242 下线，原因：您的账号已在另一台设备登录，您已被迫下线
2026-06-02 15:54:14.455 [clientOutboundChannel-26] INFO  c.s.q.m.w.s.i.WebSocketMessageServiceImpl - 已强制用户 2055949678117130242 下线，原因：您的账号已在另一台设备登录，您已被迫下线
2026-06-02 15:55:11.936 [MessageBroker-1] INFO  o.s.w.s.c.WebSocketMessageBrokerStats - WebSocketSession[7 current WS(7)-HttpStream(0)-HttpPoll(0), 8 total, 0 closed abnormally (0 connect failure, 0 send limit, 0 transport error)], stompSubProtocol[processed CONNECT(8)-CONNECTED(8)-DISCONNECT(0)], stompBrokerRelay[null], inboundChannel[pool size = 48, active threads = 0, queued tasks = 0, completed tasks = 108], outboundChannel[pool size = 43, active threads = 0, queued tasks = 0, completed tasks = 43], sockJsScheduler[pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0]
2026-06-02 16:03:13.289 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-06-02 16:03:13.637 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2026-06-02 16:03:13.657 [SpringApplicationShutdownHook] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - Stopping...
2026-06-02 16:03:13.657 [SpringApplicationShutdownHook] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - BrokerAvailabilityEvent[available=false, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@37e967df]]
2026-06-02 16:03:13.658 [SpringApplicationShutdownHook] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - Stopped.
2026-06-02 16:03:19.056 [main] INFO  c.s.q.QiSiSystemApplication - Starting QiSiSystemApplication using Java 17.0.12 with PID 187068 (C:\Users\Lenovo\Desktop\development\my-code\QiSiSystem\target\classes started by Lenovo in C:\Users\Lenovo\Desktop\development\my-code\QiSiSystem)
2026-06-02 16:03:19.058 [main] INFO  c.s.q.QiSiSystemApplication - The following 1 profile is active: "test"
2026-06-02 16:03:20.224 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-06-02 16:03:20.227 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-06-02 16:03:20.304 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 64 ms. Found 0 Redis repository interfaces.
2026-06-02 16:03:21.055 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-06-02 16:03:21.254 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2159 ms
2026-06-02 16:03:23.324 [main] INFO  c.s.q.QiSiSystemApplication - ✅ 管理员账号已初始化
2026-06-02 16:03:23.353 [main] INFO  c.s.q.config.minio.MinioConfig - 开始初始化MinIO客户端
2026-06-02 16:03:23.527 [main] INFO  c.s.q.config.minio.MinioConfig - MinIO客户端初始化完成
2026-06-02 16:03:25.129 [main] INFO  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name userDetailsServiceImpl
2026-06-02 16:03:25.617 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 15 endpoints beneath base path '/actuator'
2026-06-02 16:03:25.985 [main] INFO  c.b.m.e.s.MybatisPlusApplicationContextAware - Register ApplicationContext instances org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@44c79f32
2026-06-02 16:03:26.444 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Deferred [Mvc [pattern='/ws/**'], Ant [pattern='/ws/**']]. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2026-06-02 16:03:26.639 [main] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - Starting...
2026-06-02 16:03:26.640 [main] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - BrokerAvailabilityEvent[available=true, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@36d7e8d2]]
2026-06-02 16:03:26.644 [main] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - Started.
2026-06-02 16:03:26.683 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2026-06-02 16:03:26.712 [main] INFO  c.s.q.QiSiSystemApplication - Started QiSiSystemApplication in 8.117 seconds (process running for 8.709)
2026-06-02 16:03:26.740 [main] INFO  c.s.q.c.startup.MinioStartupRunner - 开始健康检查
2026-06-02 16:03:26.798 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-06-02 16:03:26.799 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2026-06-02 16:03:27.053 [main] INFO  c.s.q.c.startup.MinioStartupRunner - Minio连接成功
2026-06-02 16:03:27.800 [main] INFO  c.s.q.c.startup.RedisStartupRunner - Redis数据库连接成功
2026-06-02 16:03:34.481 [clientOutboundChannel-6] INFO  c.s.q.m.w.s.i.WebSocketMessageServiceImpl - 已强制用户 2055949678117130242 下线，原因：您的账号已在另一台设备登录，您已被迫下线
2026-06-02 16:03:34.503 [clientOutboundChannel-9] INFO  c.s.q.m.w.s.i.WebSocketMessageServiceImpl - 已强制用户 2055949678117130242 下线，原因：您的账号已在另一台设备登录，您已被迫下线
2026-06-02 16:03:34.564 [clientOutboundChannel-13] INFO  c.s.q.m.w.s.i.WebSocketMessageServiceImpl - 已强制用户 2055949678117130242 下线，原因：您的账号已在另一台设备登录，您已被迫下线
2026-06-02 16:03:34.592 [clientOutboundChannel-18] INFO  c.s.q.m.w.s.i.WebSocketMessageServiceImpl - 已强制用户 2055949678117130242 下线，原因：您的账号已在另一台设备登录，您已被迫下线
2026-06-02 16:03:34.667 [clientOutboundChannel-25] INFO  c.s.q.m.w.s.i.WebSocketMessageServiceImpl - 已强制用户 2055949678117130242 下线，原因：您的账号已在另一台设备登录，您已被迫下线
2026-06-02 16:04:26.603 [MessageBroker-1] INFO  o.s.w.s.c.WebSocketMessageBrokerStats - WebSocketSession[7 current WS(7)-HttpStream(0)-HttpPoll(0), 8 total, 0 closed abnormally (0 connect failure, 0 send limit, 0 transport error)], stompSubProtocol[processed CONNECT(8)-CONNECTED(8)-DISCONNECT(0)], stompBrokerRelay[null], inboundChannel[pool size = 48, active threads = 0, queued tasks = 0, completed tasks = 105], outboundChannel[pool size = 38, active threads = 0, queued tasks = 0, completed tasks = 38], sockJsScheduler[pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0]
2026-06-02 16:04:57.431 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-06-02 16:04:57.736 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2026-06-02 16:04:57.768 [SpringApplicationShutdownHook] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - Stopping...
2026-06-02 16:04:57.768 [SpringApplicationShutdownHook] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - BrokerAvailabilityEvent[available=false, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@36d7e8d2]]
2026-06-02 16:04:57.768 [SpringApplicationShutdownHook] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - Stopped.
2026-06-02 16:05:02.698 [main] INFO  c.s.q.QiSiSystemApplication - Starting QiSiSystemApplication using Java 17.0.12 with PID 175612 (C:\Users\Lenovo\Desktop\development\my-code\QiSiSystem\target\classes started by Lenovo in C:\Users\Lenovo\Desktop\development\my-code\QiSiSystem)
2026-06-02 16:05:02.700 [main] INFO  c.s.q.QiSiSystemApplication - The following 1 profile is active: "test"
2026-06-02 16:05:03.769 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-06-02 16:05:03.771 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-06-02 16:05:03.842 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 59 ms. Found 0 Redis repository interfaces.
2026-06-02 16:05:04.366 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
